Style,StyleID
Altbier,1
American Amber Ale,4
American Barleywine,5
American Brown Ale,6
American IPA,7
American Lager,8
American Light Lager,9
American Pale Ale,10
American Porter,11
American Stout,12
American Strong Ale,13
American Wheat Beer,14
Australian Sparkling Ale,17
Baltic Porter,19
Belgian Blond Ale,20
Belgian Dark Strong Ale,21
Belgian Dubbel,22
Belgian Golden Strong Ale,23
Belgian Pale Ale,24
Belgian Tripel,26
Berliner Weisse,27
Best Bitter,28
Bière de Garde,29
Blonde Ale,30
British Brown Ale,34
British Golden Ale,35
British Strong Ale,36
Cream Ale,45
Czech Pale Lager,49
Dark Mild,53
Double IPA,56
Dunkles Weissbier,61
English Barleywine,63
English IPA,65
English Porter,66
Festbier,69
Foreign Extra Stout,72
Fruit Lambic,77
German Helles Exportbier,78
German Leichtbier,79
Gose,82
Imperial Stout,87
International Pale Lager,90
Irish Extra Stout,91
Irish Red Ale,92
Irish Stout,93
Kölsch,94
Kentucky Common,97
Lambic,98
Lichtenhainer,99
London Brown Ale,101
Munich Helles,109
Oatmeal Stout,114
Old Ale,116
Ordinary Bitter,118
Piwo Grodziskie,123
Pre-Prohibition Porter,126
Roggenbier,130
Sahti,133
Saison,134
Scottish Export,136
Scottish Heavy,138
Scottish Light,140
Strong Bitter,159
Sweet Stout,162
Trappist Single,165
Tropical Stout,166
Wee Heavy,168
Weissbier,169
Weizenbock,171
Wheatwine,172
Witbier,175
