Style,StyleID
American Light Lager,9
American Lager,8
Cream Ale,45
American Wheat Beer,14
International Pale Lager,90
International Amber Lager,88
International Dark Lager,89
Czech Pale Lager,49
Czech Premium Pale Lager,50
Czech Amber Lager,47
Czech Dark Lager,48
Munich Helles,109
Festbier,69
Helles Bock,84
German Leichtbier,79
Kîlsch,94
German Helles Exportbier,78
German Pils,80
MÑrzen,102
Rauchbier,128
Dunkles Bock,60
Vienna Lager,167
Altbier,1
Munich Dunkel,108
Schwarzbier,135
Doppelbock,54
Eisbock,62
Baltic Porter,19
Weissbier,169
Dunkles Weissbier,61
Weizenbock,171
Ordinary Bitter,118
Best Bitter,28
Strong Bitter,159
British Golden Ale,35
Australian Sparkling Ale,17
English IPA,65
Dark Mild,53
British Brown Ale,34
English Porter,66
Scottish Light,140
Scottish Heavy,138
Scottish Export,136
Irish Red Ale,92
Irish Stout,93
Irish Extra Stout,91
Sweet Stout,162
Oatmeal Stout,114
Tropical Stout,166
Foreign Extra Stout,72
Blonde Ale,30
American Pale Ale,10
American Amber Ale,4
American Brown Ale,6
American Porter,11
American Stout,12
Imperial Stout,87
American IPA,7
Double IPA,56
Berliner Weisse,27
Lambic,98
Fruit Lambic,77
Witbier,175
Belgian Pale Ale,24
Biäre de Garde,29
Belgian Blond Ale,20
Saison,134
Trappist Single,165
Belgian Dubbel,22
Gose,82
Kentucky Common,97
Lichtenhainer,99
London Brown Ale,101
Piwo Grodziskie,123
Pre-Prohibition Lager,125
Pre-Prohibition Porter,126
Roggenbier,130
Sahti,133
