2015 Order,2008 Order,2004Order,Name,Company,2008Cat,2008CatName,2008Sub,2008SubName,2015 Cat,2015CatName,2015 Sub,2015SubName,2015 Sort,Date,Source
1,5,2,Bud Light,Budweiser,01,Light Lager,A,Light American Lager,1,Standard American Beer,A,American Light Lager,1,2004,CLASSIC
2,6,3,Coors Light,Coors,01,Light Lager,A,Light American Lager,1,Standard American Beer,A,American Light Lager,2,2004,CLASSIC
3,ADD,,Keystone Light,Keystone,,,,,1,Standard American Beer,A,American Light Lager,3,2015,CLASSIC
4,ADD,,Michelob Light,Michelob,,,,,1,Standard American Beer,A,American Light Lager,4,2015,CLASSIC
5,4,1,Miller Lite,Miller,01,Light Lager,A,Light American Lager,1,Standard American Beer,A,American Light Lager,5,2004,CLASSIC
6,8,ADD,Old Milwaukee Light,Joseph Schlitz,01,Light Lager,A,Light American Lager,1,Standard American Beer,A,American Light Lager,6,2008,CLASSIC
7,12,6,Budweiser,Budweiser,01,Light Lager,B,Standard American Lager,1,Standard American Beer,B,American Lager,1,2004,CLASSIC
8,18,ADD,Coors Original,Coors,01,Light Lager,B,Standard American Lager,1,Standard American Beer,B,American Lager,2,2008,CLASSIC
9,15,ADD,Grain Belt Premium Lager,August Schell's,01,Light Lager,B,Premium American Lager,1,Standard American Beer,B,American Lager,3,2008,CLASSIC
10,11,5,Miller High Life,Miller,01,Light Lager,B,Standard American Lager,1,Standard American Beer,B,American Lager,4,2004,CLASSIC
11,10,ADD,Pabst Blue Ribbon,Pabst,01,Light Lager,B,Standard American Lager,1,Standard American Beer,B,American Lager,5,2008,CLASSIC
12,ADD,,Special Export,G. Heileman,,,,,1,Standard American Beer,B,American Lager,6,2015,CLASSIC
13,155,115,Genesee Cream Ale,Genesee,06,Light Hybrid Beer,A,Cream Ale,1,Standard American Beer,C,Cream Ale,1,2004,CLASSIC
14,ADD,118,Liebotschaner Cream Ale (Lion Brewery),Lion Brewery,06,Light Hybrid Beer,A,Cream Ale,1,Standard American Beer,C,Cream Ale,2,2004,CLASSIC
15,156,116,Little Kings Cream Ale (Hudepohl),Hudepohl,06,Light Hybrid Beer,A,Cream Ale,1,Standard American Beer,C,Cream Ale,3,2004,CLASSIC
